<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ВТБ ао;W;14/04/14;000000;0.03891;302195830000
ВТБ ао;W;21/04/14;000000;0.03732;331300580000
ВТБ ао;W;28/04/14;000000;0.0386;160827440000
ВТБ ао;W;05/05/14;000000;0.04222;304769390000
ВТБ ао;W;12/05/14;000000;0.04499;404928550000
ВТБ ао;W;19/05/14;000000;0.04728;276869780000
ВТБ ао;W;26/05/14;000000;0.0479;331961000000
ВТБ ао;W;02/06/14;000000;0.04689;453007070000
ВТБ ао;W;09/06/14;000000;0.04698;107751200000
ВТБ ао;W;16/06/14;000000;0.0449;226794500000
ВТБ ао;W;23/06/14;000000;0.04213;383865520000
ВТБ ао;W;30/06/14;000000;0.04099;198152790000
ВТБ ао;W;07/07/14;000000;0.04164;265757230000
ВТБ ао;W;14/07/14;000000;0.04049;225712000000
ВТБ ао;W;21/07/14;000000;0.04038;259539190000
ВТБ ао;W;28/07/14;000000;0.04;229028730000
ВТБ ао;W;04/08/14;000000;0.03754;239738390000
ВТБ ао;W;11/08/14;000000;0.03931;127381840000
ВТБ ао;W;18/08/14;000000;0.03927;127885850000
ВТБ ао;W;25/08/14;000000;0.0384;139107180000
ВТБ ао;W;01/09/14;000000;0.04149;183406120000
ВТБ ао;W;08/09/14;000000;0.03974;107295920000
ВТБ ао;W;15/09/14;000000;0.03999;117819580000
ВТБ ао;W;22/09/14;000000;0.04016;87560240000
ВТБ ао;W;29/09/14;000000;0.0388;100237360000
ВТБ ао;W;06/10/14;000000;0.03852;105147580000
ВТБ ао;W;13/10/14;000000;0.03951;114325880000
ВТБ ао;W;20/10/14;000000;0.03837;90807310000
ВТБ ао;W;27/10/14;000000;0.03993;180511690000
ВТБ ао;W;03/11/14;000000;0.04032;148797280000
ВТБ ао;W;10/11/14;000000;0.04375;457500430000
ВТБ ао;W;17/11/14;000000;0.04526;169839680000
ВТБ ао;W;24/11/14;000000;0.0467;439798820000
ВТБ ао;W;01/12/14;000000;0.051;422357390000
ВТБ ао;W;08/12/14;000000;0.057;432318420000
ВТБ ао;W;15/12/14;000000;0.05525;405846050000
ВТБ ао;W;22/12/14;000000;0.06895;478551810000
ВТБ ао;W;29/12/14;000000;0.067;162896330000
ВТБ ао;W;05/01/15;000000;0.06531;63232270000
ВТБ ао;W;12/01/15;000000;0.06522;127227400000
ВТБ ао;W;19/01/15;000000;0.0638;124305460000
ВТБ ао;W;26/01/15;000000;0.06894;157334020000
ВТБ ао;W;02/02/15;000000;0.06826;86119860000
ВТБ ао;W;09/02/15;000000;0.0694;111104070000
ВТБ ао;W;16/02/15;000000;0.0666;101749690000
ВТБ ао;W;23/02/15;000000;0.068;136836940000
ВТБ ао;W;02/03/15;000000;0.06472;77666160000
ВТБ ао;W;09/03/15;000000;0.06332;85965190000
ВТБ ао;W;16/03/15;000000;0.0634;92591020000
ВТБ ао;W;23/03/15;000000;0.0595;78153790000
ВТБ ао;W;30/03/15;000000;0.06162;96640950000
ВТБ ао;W;06/04/15;000000;0.0587;250275670000
ВТБ ао;W;13/04/15;000000;0.05805;97081010000
ВТБ ао;W;20/04/15;000000;0.05984;122653670000
ВТБ ао;W;27/04/15;000000;0.0655;150612500000
ВТБ ао;W;04/05/15;000000;0.0675;146761730000
ВТБ ао;W;11/05/15;000000;0.06843;222016180000
ВТБ ао;W;18/05/15;000000;0.07777;306404170000
ВТБ ао;W;25/05/15;000000;0.08025;370794590000
ВТБ ао;W;01/06/15;000000;0.08107;205476980000
ВТБ ао;W;08/06/15;000000;0.0804;185527450000
ВТБ ао;W;15/06/15;000000;0.08002;157015840000
ВТБ ао;W;22/06/15;000000;0.078;173335120000
