<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ФСК ЕЭС ао;W;27/05/13;000000;0.1212;24606540000
ФСК ЕЭС ао;W;03/06/13;000000;0.104;34439460000
ФСК ЕЭС ао;W;10/06/13;000000;0.10365;20709890000
ФСК ЕЭС ао;W;17/06/13;000000;0.102;17812050000
ФСК ЕЭС ао;W;24/06/13;000000;0.10198;20825120000
ФСК ЕЭС ао;W;01/07/13;000000;0.10401;16083790000
ФСК ЕЭС ао;W;08/07/13;000000;0.1047;12475150000
ФСК ЕЭС ао;W;15/07/13;000000;0.12241;41546230000
ФСК ЕЭС ао;W;22/07/13;000000;0.1145;22362140000
ФСК ЕЭС ао;W;29/07/13;000000;0.114;16728770000
ФСК ЕЭС ао;W;05/08/13;000000;0.11235;10057630000
ФСК ЕЭС ао;W;12/08/13;000000;0.11195;14516700000
ФСК ЕЭС ао;W;19/08/13;000000;0.11461;8452090000
ФСК ЕЭС ао;W;26/08/13;000000;0.10597;10527460000
ФСК ЕЭС ао;W;02/09/13;000000;0.10399;11173360000
ФСК ЕЭС ао;W;09/09/13;000000;0.10383;19658710000
ФСК ЕЭС ао;W;16/09/13;000000;0.10572;13296770000
ФСК ЕЭС ао;W;23/09/13;000000;0.10259;8586050000
ФСК ЕЭС ао;W;30/09/13;000000;0.097;12678650000
ФСК ЕЭС ао;W;07/10/13;000000;0.09737;15678840000
ФСК ЕЭС ао;W;14/10/13;000000;0.09998;13190540000
ФСК ЕЭС ао;W;21/10/13;000000;0.09892;13133750000
ФСК ЕЭС ао;W;28/10/13;000000;0.09771;6439880000
ФСК ЕЭС ао;W;04/11/13;000000;0.09369;9410310000
ФСК ЕЭС ао;W;11/11/13;000000;0.08153;39806910000
ФСК ЕЭС ао;W;18/11/13;000000;0.08338;28563130000
ФСК ЕЭС ао;W;25/11/13;000000;0.07975;18695140000
ФСК ЕЭС ао;W;02/12/13;000000;0.0845;36214820000
ФСК ЕЭС ао;W;09/12/13;000000;0.0815;22755350000
ФСК ЕЭС ао;W;16/12/13;000000;0.0883;29718650000
ФСК ЕЭС ао;W;23/12/13;000000;0.08955;26627490000
ФСК ЕЭС ао;W;30/12/13;000000;0.09016;4272240000
ФСК ЕЭС ао;W;06/01/14;000000;0.0891;8347880000
ФСК ЕЭС ао;W;13/01/14;000000;0.0921;16153050000
ФСК ЕЭС ао;W;20/01/14;000000;0.09017;14768140000
ФСК ЕЭС ао;W;27/01/14;000000;0.08398;15337080000
ФСК ЕЭС ао;W;03/02/14;000000;0.0837;15982410000
ФСК ЕЭС ао;W;10/02/14;000000;0.08202;14586360000
ФСК ЕЭС ао;W;17/02/14;000000;0.07618;21174690000
ФСК ЕЭС ао;W;24/02/14;000000;0.07025;34883770000
ФСК ЕЭС ао;W;03/03/14;000000;0.05497;45690410000
ФСК ЕЭС ао;W;10/03/14;000000;0.05078;25753740000
ФСК ЕЭС ао;W;17/03/14;000000;0.0637;48063340000
ФСК ЕЭС ао;W;24/03/14;000000;0.07088;45235950000
ФСК ЕЭС ао;W;31/03/14;000000;0.07438;31057490000
ФСК ЕЭС ао;W;07/04/14;000000;0.06781;37306420000
ФСК ЕЭС ао;W;14/04/14;000000;0.06623;29413470000
ФСК ЕЭС ао;W;21/04/14;000000;0.05541;35076410000
ФСК ЕЭС ао;W;28/04/14;000000;0.0565;47572200000
ФСК ЕЭС ао;W;05/05/14;000000;0.05845;31334370000
ФСК ЕЭС ао;W;12/05/14;000000;0.05795;28928850000
ФСК ЕЭС ао;W;19/05/14;000000;0.0598;31215760000
ФСК ЕЭС ао;W;26/05/14;000000;0.05757;60351250000
ФСК ЕЭС ао;W;02/06/14;000000;0.0599;39370110000
ФСК ЕЭС ао;W;09/06/14;000000;0.06015;11979870000
ФСК ЕЭС ао;W;16/06/14;000000;0.05725;22999570000
ФСК ЕЭС ао;W;23/06/14;000000;0.059;17078250000
ФСК ЕЭС ао;W;30/06/14;000000;0.05929;16789710000
ФСК ЕЭС ао;W;07/07/14;000000;0.05837;13918190000
ФСК ЕЭС ао;W;14/07/14;000000;0.05451;13853980000
ФСК ЕЭС ао;W;21/07/14;000000;0.0534;15652830000
ФСК ЕЭС ао;W;28/07/14;000000;0.05379;14953230000
ФСК ЕЭС ао;W;04/08/14;000000;0.05333;15382570000
ФСК ЕЭС ао;W;11/08/14;000000;0.05466;9861200000
ФСК ЕЭС ао;W;18/08/14;000000;0.05498;11963770000
ФСК ЕЭС ао;W;25/08/14;000000;0.054;12131020000
ФСК ЕЭС ао;W;01/09/14;000000;0.05505;18166610000
ФСК ЕЭС ао;W;08/09/14;000000;0.05622;13916950000
ФСК ЕЭС ао;W;15/09/14;000000;0.0567;11718300000
ФСК ЕЭС ао;W;22/09/14;000000;0.057;12078450000
ФСК ЕЭС ао;W;29/09/14;000000;0.05469;8715690000
ФСК ЕЭС ао;W;06/10/14;000000;0.05471;6860760000
ФСК ЕЭС ао;W;13/10/14;000000;0.05571;6542840000
ФСК ЕЭС ао;W;20/10/14;000000;0.0538;6635050000
ФСК ЕЭС ао;W;27/10/14;000000;0.05361;8189620000
ФСК ЕЭС ао;W;03/11/14;000000;0.05407;7411340000
ФСК ЕЭС ао;W;10/11/14;000000;0.05373;6920170000
ФСК ЕЭС ао;W;17/11/14;000000;0.05386;5551290000
ФСК ЕЭС ао;W;24/11/14;000000;0.0536;7196960000
ФСК ЕЭС ао;W;01/12/14;000000;0.05145;11367190000
ФСК ЕЭС ао;W;08/12/14;000000;0.04321;13082130000
ФСК ЕЭС ао;W;15/12/14;000000;0.04;41473190000
ФСК ЕЭС ао;W;22/12/14;000000;0.04509;23343560000
ФСК ЕЭС ао;W;29/12/14;000000;0.04569;5088170000
ФСК ЕЭС ао;W;05/01/15;000000;0.04897;7529080000
ФСК ЕЭС ао;W;12/01/15;000000;0.05195;14992490000
ФСК ЕЭС ао;W;19/01/15;000000;0.052;9586530000
ФСК ЕЭС ао;W;26/01/15;000000;0.04982;10660970000
ФСК ЕЭС ао;W;02/02/15;000000;0.0524;9322250000
ФСК ЕЭС ао;W;09/02/15;000000;0.0677;19623020000
ФСК ЕЭС ао;W;16/02/15;000000;0.068;22248000000
ФСК ЕЭС ао;W;23/02/15;000000;0.07535;23541110000
ФСК ЕЭС ао;W;02/03/15;000000;0.07555;14449820000
ФСК ЕЭС ао;W;09/03/15;000000;0.0763;20486690000
ФСК ЕЭС ао;W;16/03/15;000000;0.06728;17220630000
ФСК ЕЭС ао;W;23/03/15;000000;0.061;19685930000
ФСК ЕЭС ао;W;30/03/15;000000;0.069;16635490000
ФСК ЕЭС ао;W;06/04/15;000000;0.06505;19607200000
ФСК ЕЭС ао;W;13/04/15;000000;0.06447;13511670000
ФСК ЕЭС ао;W;20/04/15;000000;0.06482;17029220000
ФСК ЕЭС ао;W;27/04/15;000000;0.071;12366540000
ФСК ЕЭС ао;W;04/05/15;000000;0.06748;11481770000
ФСК ЕЭС ао;W;11/05/15;000000;0.0678;6976430000
ФСК ЕЭС ао;W;18/05/15;000000;0.06682;7034460000
ФСК ЕЭС ао;W;25/05/15;000000;0.06508;8672730000
ФСК ЕЭС ао;W;01/06/15;000000;0.06565;5408410000
ФСК ЕЭС ао;W;08/06/15;000000;0.06463;4376390000
ФСК ЕЭС ао;W;15/06/15;000000;0.06579;4796240000
ФСК ЕЭС ао;W;22/06/15;000000;0.06303;3060640000
ФСК ЕЭС ао;W;29/06/15;000000;0.0635;4040090000
ФСК ЕЭС ао;W;06/07/15;000000;0.06174;4083360000
ФСК ЕЭС ао;W;13/07/15;000000;0.06398;4077990000
ФСК ЕЭС ао;W;20/07/15;000000;0.06635;9201550000
ФСК ЕЭС ао;W;27/07/15;000000;0.068;6522000000
ФСК ЕЭС ао;W;03/08/15;000000;0.06585;4251550000
ФСК ЕЭС ао;W;10/08/15;000000;0.0659;3146660000
ФСК ЕЭС ао;W;17/08/15;000000;0.06251;3361590000
ФСК ЕЭС ао;W;24/08/15;000000;0.06535;7001850000
ФСК ЕЭС ао;W;31/08/15;000000;0.06429;5000170000
ФСК ЕЭС ао;W;07/09/15;000000;0.0645;2921460000
ФСК ЕЭС ао;W;14/09/15;000000;0.05912;8432000000
ФСК ЕЭС ао;W;21/09/15;000000;0.06098;5721830000
ФСК ЕЭС ао;W;28/09/15;000000;0.05889;4442120000
ФСК ЕЭС ао;W;05/10/15;000000;0.06211;5153840000
ФСК ЕЭС ао;W;12/10/15;000000;0.06025;3991590000
ФСК ЕЭС ао;W;19/10/15;000000;0.06333;11936160000
ФСК ЕЭС ао;W;26/10/15;000000;0.06215;5178310000
ФСК ЕЭС ао;W;02/11/15;000000;0.06237;4314780000
ФСК ЕЭС ао;W;09/11/15;000000;0.06029;2792130000
ФСК ЕЭС ао;W;16/11/15;000000;0.06265;3774400000
ФСК ЕЭС ао;W;23/11/15;000000;0.06138;5050350000
ФСК ЕЭС ао;W;30/11/15;000000;0.06015;2190990000
ФСК ЕЭС ао;W;07/12/15;000000;0.05868;3019040000
ФСК ЕЭС ао;W;14/12/15;000000;0.0604;4765740000
ФСК ЕЭС ао;W;21/12/15;000000;0.05879;2305360000
ФСК ЕЭС ао;W;28/12/15;000000;0.0594;1643440000
ФСК ЕЭС ао;W;04/01/16;000000;0.06075;2822030000
ФСК ЕЭС ао;W;11/01/16;000000;0.05499;5250790000
ФСК ЕЭС ао;W;18/01/16;000000;0.0578;4284330000
ФСК ЕЭС ао;W;25/01/16;000000;0.0585;3945450000
ФСК ЕЭС ао;W;01/02/16;000000;0.0614;6537640000
ФСК ЕЭС ао;W;08/02/16;000000;0.06204;4438150000
ФСК ЕЭС ао;W;15/02/16;000000;0.0623;5866710000
ФСК ЕЭС ао;W;22/02/16;000000;0.06581;9427750000
ФСК ЕЭС ао;W;29/02/16;000000;0.06789;7579260000
ФСК ЕЭС ао;W;07/03/16;000000;0.06823;4808940000
ФСК ЕЭС ао;W;14/03/16;000000;0.0765;15549800000
ФСК ЕЭС ао;W;21/03/16;000000;0.08298;15205250000
ФСК ЕЭС ао;W;28/03/16;000000;0.0848;9337670000
ФСК ЕЭС ао;W;04/04/16;000000;0.09495;24702670000
ФСК ЕЭС ао;W;11/04/16;000000;0.08777;14059670000
ФСК ЕЭС ао;W;18/04/16;000000;0.09623;18887290000
ФСК ЕЭС ао;W;25/04/16;000000;0.10045;14303100000
ФСК ЕЭС ао;W;02/05/16;000000;0.10696;13578280000
ФСК ЕЭС ао;W;09/05/16;000000;0.11;10136090000
ФСК ЕЭС ао;W;16/05/16;000000;0.112;12575940000
ФСК ЕЭС ао;W;23/05/16;000000;0.12327;33093910000
ФСК ЕЭС ао;W;30/05/16;000000;0.139;30352440000
ФСК ЕЭС ао;W;06/06/16;000000;0.12299;30779530000
ФСК ЕЭС ао;W;13/06/16;000000;0.14029;24931820000
ФСК ЕЭС ао;W;20/06/16;000000;0.14315;12558700000
ФСК ЕЭС ао;W;27/06/16;000000;0.15815;24770790000
ФСК ЕЭС ао;W;04/07/16;000000;0.15548;20576200000
ФСК ЕЭС ао;W;11/07/16;000000;0.14549;26106660000
ФСК ЕЭС ао;W;18/07/16;000000;0.154;12376150000
ФСК ЕЭС ао;W;25/07/16;000000;0.16099;15044170000
ФСК ЕЭС ао;W;01/08/16;000000;0.15396;10021190000
ФСК ЕЭС ао;W;08/08/16;000000;0.15454;12180680000
ФСК ЕЭС ао;W;15/08/16;000000;0.15451;5250210000
ФСК ЕЭС ао;W;22/08/16;000000;0.1681;17210810000
ФСК ЕЭС ао;W;29/08/16;000000;0.1722;13209370000
ФСК ЕЭС ао;W;05/09/16;000000;0.17989;14008800000
ФСК ЕЭС ао;W;12/09/16;000000;0.16172;11589250000
ФСК ЕЭС ао;W;19/09/16;000000;0.176;11756200000
ФСК ЕЭС ао;W;26/09/16;000000;0.17849;8452110000
ФСК ЕЭС ао;W;03/10/16;000000;0.17079;6812800000
ФСК ЕЭС ао;W;10/10/16;000000;0.16424;5126750000
ФСК ЕЭС ао;W;17/10/16;000000;0.1652;5012660000
ФСК ЕЭС ао;W;24/10/16;000000;0.169;6836020000
ФСК ЕЭС ао;W;31/10/16;000000;0.1655;5130710000
ФСК ЕЭС ао;W;07/11/16;000000;0.16535;7767680000
ФСК ЕЭС ао;W;14/11/16;000000;0.17989;17761460000
ФСК ЕЭС ао;W;21/11/16;000000;0.18872;9036030000
ФСК ЕЭС ао;W;28/11/16;000000;0.1931;16265800000
ФСК ЕЭС ао;W;05/12/16;000000;0.20381;12311130000
ФСК ЕЭС ао;W;12/12/16;000000;0.20273;15237370000
ФСК ЕЭС ао;W;19/12/16;000000;0.19232;9984580000
ФСК ЕЭС ао;W;26/12/16;000000;0.2032;8250100000
ФСК ЕЭС ао;W;02/01/17;000000;0.2059;4555110000
ФСК ЕЭС ао;W;09/01/17;000000;0.20444;9526600000
ФСК ЕЭС ао;W;16/01/17;000000;0.21026;17869960000
ФСК ЕЭС ао;W;23/01/17;000000;0.231;12472590000
ФСК ЕЭС ао;W;30/01/17;000000;0.2483;13658040000
ФСК ЕЭС ао;W;06/02/17;000000;0.255;15084420000
ФСК ЕЭС ао;W;13/02/17;000000;0.252;9361450000
ФСК ЕЭС ао;W;20/02/17;000000;0.22595;16757430000
ФСК ЕЭС ао;W;27/02/17;000000;0.2105;44259540000
ФСК ЕЭС ао;W;06/03/17;000000;0.17475;56436050000
ФСК ЕЭС ао;W;13/03/17;000000;0.19055;32206760000
ФСК ЕЭС ао;W;20/03/17;000000;0.1904;41663180000
ФСК ЕЭС ао;W;27/03/17;000000;0.1791;38639370000
ФСК ЕЭС ао;W;03/04/17;000000;0.17795;27100200000
ФСК ЕЭС ао;W;10/04/17;000000;0.17635;30331830000
ФСК ЕЭС ао;W;17/04/17;000000;0.174;19847880000
ФСК ЕЭС ао;W;24/04/17;000000;0.1964;37535470000
ФСК ЕЭС ао;W;01/05/17;000000;0.19155;14312010000
ФСК ЕЭС ао;W;08/05/17;000000;0.195;7090080000
ФСК ЕЭС ао;W;15/05/17;000000;0.1838;24435180000
ФСК ЕЭС ао;W;22/05/17;000000;0.17505;19774960000
ФСК ЕЭС ао;W;29/05/17;000000;0.16495;30276320000
ФСК ЕЭС ао;W;05/06/17;000000;0.1627;12993330000
ФСК ЕЭС ао;W;12/06/17;000000;0.156;12611010000
ФСК ЕЭС ао;W;19/06/17;000000;0.1649;13006590000
ФСК ЕЭС ао;W;26/06/17;000000;0.1714;11000720000
ФСК ЕЭС ао;W;03/07/17;000000;0.1754;7428690000
ФСК ЕЭС ао;W;10/07/17;000000;0.18;9377540000
ФСК ЕЭС ао;W;17/07/17;000000;0.16845;15335780000
ФСК ЕЭС ао;W;24/07/17;000000;0.17;12263580000
ФСК ЕЭС ао;W;31/07/17;000000;0.17;8756910000
ФСК ЕЭС ао;W;07/08/17;000000;0.1698;10152280000
ФСК ЕЭС ао;W;14/08/17;000000;0.16905;9354290000
ФСК ЕЭС ао;W;21/08/17;000000;0.17145;6740100000
ФСК ЕЭС ао;W;28/08/17;000000;0.17735;13131840000
ФСК ЕЭС ао;W;04/09/17;000000;0.17335;9174730000
ФСК ЕЭС ао;W;11/09/17;000000;0.1738;6400200000
ФСК ЕЭС ао;W;18/09/17;000000;0.17445;8682880000
ФСК ЕЭС ао;W;25/09/17;000000;0.1711;6267210000
ФСК ЕЭС ао;W;02/10/17;000000;0.17115;4385900000
ФСК ЕЭС ао;W;09/10/17;000000;0.17175;5288220000
ФСК ЕЭС ао;W;16/10/17;000000;0.166;8212870000
ФСК ЕЭС ао;W;23/10/17;000000;0.1625;12493450000
ФСК ЕЭС ао;W;30/10/17;000000;0.1624;7828780000
ФСК ЕЭС ао;W;06/11/17;000000;0.1638;5550630000
ФСК ЕЭС ао;W;13/11/17;000000;0.1626;7135340000
ФСК ЕЭС ао;W;20/11/17;000000;0.167;10848610000
ФСК ЕЭС ао;W;27/11/17;000000;0.164;5938540000
ФСК ЕЭС ао;W;04/12/17;000000;0.15905;5443610000
ФСК ЕЭС ао;W;11/12/17;000000;0.16175;3711760000
ФСК ЕЭС ао;W;18/12/17;000000;0.16655;11376750000
ФСК ЕЭС ао;W;25/12/17;000000;0.16205;4582860000
ФСК ЕЭС ао;W;01/01/18;000000;0.1639;2319470000
ФСК ЕЭС ао;W;08/01/18;000000;0.1646;4259930000
ФСК ЕЭС ао;W;15/01/18;000000;0.18;17620730000
ФСК ЕЭС ао;W;22/01/18;000000;0.17215;23142040000
ФСК ЕЭС ао;W;29/01/18;000000;0.1755;10691590000
ФСК ЕЭС ао;W;05/02/18;000000;0.1707;10981180000
ФСК ЕЭС ао;W;12/02/18;000000;0.1775;12013720000
ФСК ЕЭС ао;W;19/02/18;000000;0.1753;5027000000
ФСК ЕЭС ао;W;26/02/18;000000;0.174;6435920000
ФСК ЕЭС ао;W;05/03/18;000000;0.1766;4788960000
ФСК ЕЭС ао;W;12/03/18;000000;0.1792;10866490000
ФСК ЕЭС ао;W;19/03/18;000000;0.1755;4409490000
ФСК ЕЭС ао;W;26/03/18;000000;0.1812;6887040000
ФСК ЕЭС ао;W;02/04/18;000000;0.1808;9298320000
ФСК ЕЭС ао;W;09/04/18;000000;0.16865;15873340000
ФСК ЕЭС ао;W;16/04/18;000000;0.1715;7531500000
ФСК ЕЭС ао;W;23/04/18;000000;0.1764;6890630000
ФСК ЕЭС ао;W;30/04/18;000000;0.1759;3686720000
ФСК ЕЭС ао;W;07/05/18;000000;0.17645;3966940000
ФСК ЕЭС ао;W;14/05/18;000000;0.18505;13066890000
ФСК ЕЭС ао;W;21/05/18;000000;0.1795;6583420000
ФСК ЕЭС ао;W;28/05/18;000000;0.18395;4500870000
ФСК ЕЭС ао;W;04/06/18;000000;0.18385;4508370000
ФСК ЕЭС ао;W;11/06/18;000000;0.1811;2570000000
ФСК ЕЭС ао;W;18/06/18;000000;0.1847;5014200000
ФСК ЕЭС ао;W;25/06/18;000000;0.1875;4414960000
ФСК ЕЭС ао;W;02/07/18;000000;0.18985;4318360000
ФСК ЕЭС ао;W;09/07/18;000000;0.18915;6788140000
ФСК ЕЭС ао;W;16/07/18;000000;0.1686;9723580000
ФСК ЕЭС ао;W;23/07/18;000000;0.1712;5311100000
ФСК ЕЭС ао;W;30/07/18;000000;0.16415;5258700000
ФСК ЕЭС ао;W;06/08/18;000000;0.1564;8426060000
ФСК ЕЭС ао;W;13/08/18;000000;0.1514;7213740000
ФСК ЕЭС ао;W;20/08/18;000000;0.15145;7771190000
ФСК ЕЭС ао;W;27/08/18;000000;0.163;8096690000
ФСК ЕЭС ао;W;03/09/18;000000;0.15655;5645250000
ФСК ЕЭС ао;W;10/09/18;000000;0.1626;5408600000
ФСК ЕЭС ао;W;17/09/18;000000;0.1677;6669510000
ФСК ЕЭС ао;W;24/09/18;000000;0.1661;4736800000
ФСК ЕЭС ао;W;01/10/18;000000;0.1607;7692980000
ФСК ЕЭС ао;W;08/10/18;000000;0.15495;9390470000
ФСК ЕЭС ао;W;15/10/18;000000;0.154;4329870000
ФСК ЕЭС ао;W;22/10/18;000000;0.149;6477520000
ФСК ЕЭС ао;W;29/10/18;000000;0.1526;5155050000
ФСК ЕЭС ао;W;05/11/18;000000;0.15304;3098320000
ФСК ЕЭС ао;W;12/11/18;000000;0.152;3531110000
ФСК ЕЭС ао;W;19/11/18;000000;0.1537;3606550000
ФСК ЕЭС ао;W;26/11/18;000000;0.15518;5227580000
ФСК ЕЭС ао;W;03/12/18;000000;0.15616;3274110000
ФСК ЕЭС ао;W;10/12/18;000000;0.15158;4549290000
ФСК ЕЭС ао;W;17/12/18;000000;0.1531;5287460000
ФСК ЕЭС ао;W;24/12/18;000000;0.14812;5836170000
ФСК ЕЭС ао;W;31/12/18;000000;0.14956;2083550000
ФСК ЕЭС ао;W;07/01/19;000000;0.15358;3605440000
ФСК ЕЭС ао;W;14/01/19;000000;0.1561;5706970000
ФСК ЕЭС ао;W;21/01/19;000000;0.16426;12387750000
ФСК ЕЭС ао;W;28/01/19;000000;0.16588;6933050000
ФСК ЕЭС ао;W;04/02/19;000000;0.16502;3767450000
ФСК ЕЭС ао;W;11/02/19;000000;0.165;3653180000
ФСК ЕЭС ао;W;18/02/19;000000;0.1697;5853610000
ФСК ЕЭС ао;W;25/02/19;000000;0.1661;7225340000
ФСК ЕЭС ао;W;04/03/19;000000;0.165;2258880000
ФСК ЕЭС ао;W;11/03/19;000000;0.1697;3614980000
ФСК ЕЭС ао;W;18/03/19;000000;0.1664;3905130000
ФСК ЕЭС ао;W;25/03/19;000000;0.1641;2499330000
ФСК ЕЭС ао;W;01/04/19;000000;0.16204;3401360000
ФСК ЕЭС ао;W;08/04/19;000000;0.16586;8872150000
ФСК ЕЭС ао;W;15/04/19;000000;0.166;2972430000
ФСК ЕЭС ао;W;22/04/19;000000;0.16544;2893180000
ФСК ЕЭС ао;W;29/04/19;000000;0.16482;2633400000
ФСК ЕЭС ао;W;06/05/19;000000;0.16434;1980210000
ФСК ЕЭС ао;W;13/05/19;000000;0.1726;5180320000
ФСК ЕЭС ао;W;20/05/19;000000;0.1775;11534360000
ФСК ЕЭС ао;W;27/05/19;000000;0.17268;4699520000
ФСК ЕЭС ао;W;03/06/19;000000;0.18236;9024410000
ФСК ЕЭС ао;W;10/06/19;000000;0.18816;7875830000
ФСК ЕЭС ао;W;17/06/19;000000;0.20354;17656850000
ФСК ЕЭС ао;W;24/06/19;000000;0.2025;6114030000
ФСК ЕЭС ао;W;01/07/19;000000;0.2047;5594690000
ФСК ЕЭС ао;W;08/07/19;000000;0.20224;7503170000
ФСК ЕЭС ао;W;15/07/19;000000;0.17918;13241600000
ФСК ЕЭС ао;W;22/07/19;000000;0.18332;4576190000
ФСК ЕЭС ао;W;29/07/19;000000;0.18018;5469390000
ФСК ЕЭС ао;W;05/08/19;000000;0.17816;3624170000
ФСК ЕЭС ао;W;12/08/19;000000;0.1692;3739370000
ФСК ЕЭС ао;W;19/08/19;000000;0.1694;3757650000
ФСК ЕЭС ао;W;26/08/19;000000;0.1775;3441350000
ФСК ЕЭС ао;W;02/09/19;000000;0.18384;5773370000
ФСК ЕЭС ао;W;09/09/19;000000;0.19314;7461030000
ФСК ЕЭС ао;W;16/09/19;000000;0.185;7023890000
ФСК ЕЭС ао;W;23/09/19;000000;0.18262;4966450000
ФСК ЕЭС ао;W;30/09/19;000000;0.18066;5621150000
ФСК ЕЭС ао;W;07/10/19;000000;0.18052;2651620000
ФСК ЕЭС ао;W;14/10/19;000000;0.18716;3787980000
ФСК ЕЭС ао;W;21/10/19;000000;0.182;3800950000
ФСК ЕЭС ао;W;28/10/19;000000;0.186;4269220000
ФСК ЕЭС ао;W;04/11/19;000000;0.1894;4695420000
ФСК ЕЭС ао;W;11/11/19;000000;0.1905;4711780000
ФСК ЕЭС ао;W;18/11/19;000000;0.19352;5713000000
ФСК ЕЭС ао;W;25/11/19;000000;0.1953;5339260000
ФСК ЕЭС ао;W;02/12/19;000000;0.1933;3156650000
ФСК ЕЭС ао;W;09/12/19;000000;0.1939;4039840000
ФСК ЕЭС ао;W;16/12/19;000000;0.20094;10970620000
ФСК ЕЭС ао;W;23/12/19;000000;0.20046;4946340000
ФСК ЕЭС ао;W;30/12/19;000000;0.2082;2994170000
ФСК ЕЭС ао;W;06/01/20;000000;0.20602;10834560000
ФСК ЕЭС ао;W;13/01/20;000000;0.22;11142030000
ФСК ЕЭС ао;W;20/01/20;000000;0.2182;12170080000
ФСК ЕЭС ао;W;27/01/20;000000;0.21914;22186450000
ФСК ЕЭС ао;W;03/02/20;000000;0.22312;15747190000
ФСК ЕЭС ао;W;10/02/20;000000;0.231;13496210000
ФСК ЕЭС ао;W;17/02/20;000000;0.24322;15446520000
ФСК ЕЭС ао;W;24/02/20;000000;0.207;29161990000
ФСК ЕЭС ао;W;02/03/20;000000;0.1929;23466670000
ФСК ЕЭС ао;W;09/03/20;000000;0.15006;41013070000
ФСК ЕЭС ао;W;16/03/20;000000;0.15046;27475550000
ФСК ЕЭС ао;W;23/03/20;000000;0.15506;26593270000
ФСК ЕЭС ао;W;30/03/20;000000;0.16432;16972460000
ФСК ЕЭС ао;W;06/04/20;000000;0.1808;25156100000
ФСК ЕЭС ао;W;13/04/20;000000;0.1752;13679120000
ФСК ЕЭС ао;W;20/04/20;000000;0.1812;12624620000
ФСК ЕЭС ао;W;27/04/20;000000;0.18354;8651720000
ФСК ЕЭС ао;W;04/05/20;000000;0.1863;7206930000
ФСК ЕЭС ао;W;11/05/20;000000;0.18204;8541200000
ФСК ЕЭС ао;W;18/05/20;000000;0.19578;19020260000
ФСК ЕЭС ао;W;25/05/20;000000;0.18354;24235610000
ФСК ЕЭС ао;W;01/06/20;000000;0.1838;13692960000
ФСК ЕЭС ао;W;08/06/20;000000;0.1855;14170610000
ФСК ЕЭС ао;W;15/06/20;000000;0.1857;20904760000
ФСК ЕЭС ао;W;22/06/20;000000;0.1859;11850950000
ФСК ЕЭС ао;W;29/06/20;000000;0.19014;5972520000
ФСК ЕЭС ао;W;06/07/20;000000;0.1913;8633640000
ФСК ЕЭС ао;W;13/07/20;000000;0.1895;8645310000
ФСК ЕЭС ао;W;20/07/20;000000;0.1965;13188300000
ФСК ЕЭС ао;W;27/07/20;000000;0.1999;13691490000
ФСК ЕЭС ао;W;03/08/20;000000;0.1993;7752770000
ФСК ЕЭС ао;W;10/08/20;000000;0.20382;6116690000
ФСК ЕЭС ао;W;17/08/20;000000;0.1976;10560450000
ФСК ЕЭС ао;W;24/08/20;000000;0.19792;7529920000
ФСК ЕЭС ао;W;31/08/20;000000;0.19696;10163700000
ФСК ЕЭС ао;W;07/09/20;000000;0.19902;6333250000
ФСК ЕЭС ао;W;14/09/20;000000;0.2072;12224060000
ФСК ЕЭС ао;W;21/09/20;000000;0.19972;8443060000
ФСК ЕЭС ао;W;28/09/20;000000;0.19532;8412740000
ФСК ЕЭС ао;W;05/10/20;000000;0.19476;5757920000
ФСК ЕЭС ао;W;12/10/20;000000;0.18522;8134450000
ФСК ЕЭС ао;W;19/10/20;000000;0.193;9495020000
ФСК ЕЭС ао;W;26/10/20;000000;0.18932;11166800000
ФСК ЕЭС ао;W;02/11/20;000000;0.19656;6547410000
ФСК ЕЭС ао;W;09/11/20;000000;0.19836;9050500000
ФСК ЕЭС ао;W;16/11/20;000000;0.19652;9322830000
ФСК ЕЭС ао;W;23/11/20;000000;0.20344;8577890000
ФСК ЕЭС ао;W;30/11/20;000000;0.20262;6453510000
ФСК ЕЭС ао;W;07/12/20;000000;0.20176;4490710000
ФСК ЕЭС ао;W;14/12/20;000000;0.2118;14053040000
ФСК ЕЭС ао;W;21/12/20;000000;0.2158;7932630000
ФСК ЕЭС ао;W;28/12/20;000000;0.2225;6329360000
ФСК ЕЭС ао;W;04/01/21;000000;0.23062;4694200000
ФСК ЕЭС ао;W;11/01/21;000000;0.2208;8109120000
ФСК ЕЭС ао;W;18/01/21;000000;0.21698;5467460000
ФСК ЕЭС ао;W;25/01/21;000000;0.213;7080090000
ФСК ЕЭС ао;W;01/02/21;000000;0.21694;4576450000
ФСК ЕЭС ао;W;08/02/21;000000;0.21838;5764070000
ФСК ЕЭС ао;W;15/02/21;000000;0.21612;7189550000
ФСК ЕЭС ао;W;22/02/21;000000;0.21462;5871620000
ФСК ЕЭС ао;W;01/03/21;000000;0.21186;5924070000
ФСК ЕЭС ао;W;08/03/21;000000;0.21118;6264640000
ФСК ЕЭС ао;W;15/03/21;000000;0.21408;10609410000
ФСК ЕЭС ао;W;22/03/21;000000;0.21486;6505720000
ФСК ЕЭС ао;W;29/03/21;000000;0.21484;4936920000
ФСК ЕЭС ао;W;05/04/21;000000;0.21178;7630310000
ФСК ЕЭС ао;W;12/04/21;000000;0.21378;7145510000
